trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1075,False,"{'a': 0.1, 'e': 0.4766115953795223}",20,0,-30.02992786080806,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1076,False,"{'a': 0.1, 'e': 0.4757322432417888}",20,0,-87.22097492210739,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
1077,False,"{'a': 0.1, 'e': 0.47485241537185147}",25,13,-1.3644798249077166,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1078,False,"{'a': 0.1, 'e': 0.47397211264953854}",20,14,10.389276048273437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.1, 'e': 0.47309133595515224}",25,9,-43.658877848298324,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
1080,False,"{'a': 0.1, 'e': 0.4722100861694696}",25,2,4.481645112696748,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
1081,False,"{'a': 0.1, 'e': 0.47132836417373997}",20,0,10.565534900692324,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1082,False,"{'a': 0.1, 'e': 0.4704461708496856}",20,15,10.09685655033881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.1, 'e': 0.46956350707949945}",20,0,-90.87344770029095,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
1084,False,"{'a': 0.1, 'e': 0.46868037374584554}",20,0,-72.35692986840937,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1085,False,"{'a': 0.1, 'e': 0.4677967717318567}",25,15,-26.720014326846332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1086,False,"{'a': 0.1, 'e': 0.4669127019211353}",30,0,-111.9631790263826,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
1087,False,"{'a': 0.1, 'e': 0.46602816519775075}",25,14,-3.5436697322103887,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1088,False,"{'a': 0.1, 'e': 0.46514316244624}",25,13,-38.45753435323602,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
1089,False,"{'a': 0.1, 'e': 0.46425769455160537}",20,1,-72.44466836627713,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
1090,False,"{'a': 0.1, 'e': 0.4633717623993151}",20,12,-8.053601596895701,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
1091,False,"{'a': 0.1, 'e': 0.4624853668753008}",20,6,-14.835787589993815,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1092,False,"{'a': 0.1, 'e': 0.4615985088659584}",30,4,-33.682593009213875,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 1}",1
1093,False,"{'a': 0.1, 'e': 0.46071118925814536}",20,0,-18.753296723888077,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1094,False,"{'a': 0.1, 'e': 0.4598234089391817}",25,7,-64.45657771422425,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
1095,False,"{'a': 0.1, 'e': 0.4589351687968472}",25,9,-52.08284039401048,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
1096,False,"{'a': 0.1, 'e': 0.45804646971938234}",25,7,-57.18713462903806,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
1097,False,"{'a': 0.1, 'e': 0.45715731259548575}",25,4,-77.26065486641595,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
1098,False,"{'a': 0.1, 'e': 0.45626769831431485}",20,12,2.382487033360314,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
